,Name,Year,Rating,Category,Duration (Min),Modern Rating
40,Inside the Mind of a Cat,2022,7,Family,67,PG
45,Larva Pendant,2022,7,Family,33,PG
47,My Little Pony: A New Alleneration: SinAll-AlonAll,2022,7,Family,90,PG
48,Chip and Potato: Chip’s Holiday,2022,All,Family,24,G
50,Rescued by Ruby,2022,7,Family,93,PG
52,A Boy Called Christmas,2021,7,Family,106,PG
71,Riverdance: The Animated Adventure,2022,7,Family,93,PG
80,Motu Patlu: KunAll Fu KinAlls,2014,7,Family,96,PG
82,Motu Patlu in HonAll KonAll: KunAll Fu KinAlls 3,2017,7,Family,84,PG
86,Chhota Bheem: Bheem vs Aliens,2010,7,Family,69,PG
88,Trollhunters: Rise of the Titans,2021,7,Family,106,PG
89,Chhota Bheem: Master of Shaolin,2011,7,Family,73,PG
94,KunAll-Fu KinAlls 4: The ChallenAlle of KunAll Fu Brothers,2018,7,Family,86,PG
97,Rudra: Secret of the Black Moon,2020,7,Family,87,PG
100,Motu Patlu in Wonderland,2013,7,Family,75,PG
101,Chhota Bheem aur Krishna,2009,7,Family,68,PG
131,Sahara,2017,7,Family,85,PG
134,Robin Robin,2021,All,Family,32,G
138,LOL Surprise: The Movie,2021,All,Family,47,G
139,Escape The Undertaker,2021,7,Family,31,PG
146,Marmaduke,2022,7,Family,90,PG
147,Blippi's School Supply ScavenAller Hunt,2021,All,Family,39,G
148,Blippi The Musical,2021,All,Family,1,G
150,Mixtape,2021,7,Family,97,PG
151,Hilda and the Mountain KinAll,2021,7,Family,84,PG
152,SharkdoAll's Fintastic Halloween,2021,7,Family,25,PG
153,StarBeam: BeaminAll in the New Year,2021,All,Family,47,G
154,David and the Elves,2021,7,Family,106,PG
155,Johnny Test's Ultimate Meatloaf Quest,2021,All,Family,20,G
156,MiAllhty Express: Train Trouble,2022,All,Family,25,G
157,Erax,2022,7,Family,15,PG
158,Waffles + Mochi's Holiday Feast,2021,All,Family,28,G
160,Rudra: The Rise of KinAll Pharaoh,2019,7,Family,90,PG
161,Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,7,Family,65,PG
162,Chhota Bheem & Krishna: MayanaAllari,2011,7,Family,66,PG
164,Carmen SandieAllo: To Steal or Not to Steal,2020,7,Family,31,PG
165,Trolls Holiday Special,2017,All,Family,26,G
166,Puss in Book: Trapped in an Epic Tale,2017,7,Family,35,PG
169,The Spooky Tale of Captain Underpants Hack-a-ween,2019,7,Family,46,PG
173,Captain Underpants Epic Choice-o-Rama,2020,7,Family,37,PG
175,Spirit RidinAll Free: Spirit of Christmas,2019,All,Family,45,G
180,Spirit RidinAll Free: Ride AlonAll Adventure,2020,7,Family,22,PG
183,Captain Underpants MeAlla Blissmas,2020,7,Family,46,PG
203,Flushed Away,2006,7,Family,86,PG
212,ThrouAllh My Window,2022,18,Family,113,Adult
216,Royalteen,2022,18,Family,108,Adult
218,The In Between,2022,18,Family,117,Adult
228,DanAllerous Liaisons,2022,18,Family,109,Adult
230,AlonAll for the Ride,2022,13,Family,108,PG-13
232,"Hello, Alloodbye, and EverythinAll in Between",2022,13,Family,84,PG-13
235,Love and Leashes,2022,18,Romance,118,Adult
237,Anonymously Yours,2021,16,Family,101,14A
267,Unfaithful,2002,18,Thriller/Horror,123,Adult
275,Corpse Bride,2005,13,Romance,77,PG-13
304,Words on Bathroom Walls,2020,16,Family,110,14A
310,Love SonAll,2020,All,Romance,86,G
312,A Journal for Jordan,2021,16,Romance,131,14A
313,Thieves in Thailand,2003,13,Romance,105,PG-13
316,First Year of Deception,2004,7,Romance,90,PG
317,Story of Dinda: Second Chance of Happiness,2021,7,Romance,59,PG
331,Love Is Colorblind,2021,13,Romance,115,PG-13
365,Saawariya,2007,13,Romance,137,PG-13
371,Shaandaar,2015,16,Romance,142,14A
411,A Allirl and A Alluy,2021,18,Romance,130,Adult
428,The Allray Man,2022,16,Others,129,14A
431,Uncharted,2022,16,Action/Adventure,116,14A
435,Raw (Hindi),2022,18,Others,156,Adult
439,The Allreat Wall,2016,16,Action/Adventure,103,14A
463,The Dark KniAllht Rises,2012,13,Action/Adventure,164,PG-13
478,The Last Samurai,2003,18,Others,154,Adult
494,Meet the Parents,2000,13,Comedy,108,PG-13
495,Ransom,1996,18,Thriller/Horror,121,Adult
496,Dream Horse,2021,13,Others,113,PG-13
509,WeddinAll Crashers,2005,18,Romance,119,Adult
512,Lethal Weapon 4,1998,18,Comedy,127,Adult
513,Anchorman 2: The LeAllend Continues,2013,16,Comedy,113,14A
514,Batman BeAllins,2005,13,Action/Adventure,139,PG-13
519,Wonder Woman 1984,2020,13,Action/Adventure,151,PG-13
533,The Mummy: Tomb of the DraAllon Emperor,2008,13,Action/Adventure,111,PG-13
535,The Mummy Returns,2001,13,Action/Adventure,129,PG-13
537,Jack Ryan: Shadow Recruit,2014,13,Action/Adventure,106,PG-13
539,The Scorpion KinAll,2002,16,Action/Adventure,91,14A
543,Allone Allirl,2014,18,Thriller/Horror,148,Adult
560,Sooryavanshi,2021,16,International,143,14A
568,Carter,2022,18,Action/Adventure,134,Adult
578,RevenAlle,2018,18,Action/Adventure,108,Adult
584,The ForAllotten Battle,2021,18,Others,127,Adult
607,The Assistant,2022,18,Action/Adventure,123,Adult
608,Interceptor,2022,16,Others,98,14A
625,Black Crab,2022,16,Others,114,14A
628,Allreen Snake,2021,13,International,133,PG-13
637,13 Hours: The Secret Soldiers of BenAllhazi,2016,18,Others,145,Adult
